buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Essex,2008,45.6,351427.8,17.261063353553702,27.82372278207307,21.79369030806425,19.561600880867463,12.528025787714132,60784.49098956687,13302670,37.853209108670406,770675,2.870470691277127,6.4,48081527,44.37110325364129,41.23644856781393,0.2435527297498946,4.52564310507023,0.06967917734453563,7.664579751516527,1.8889934148635936,0.2704123009050508,1.6185811139585429,48.16816427158011,39.88998133056881,19.375806104304626,29.117430944193714,125
Gloucester,2008,86.4,248711.04000000004,42.08545820885153,35.153756021351384,28.49524801458144,18.591329254003387,8.534305428980602,78137.93645273474,12114720,48.71002107505963,287860,1.2162162162162162,5.3,12721696,84.15896616410755,9.8131035920239,0.11568123393316196,2.4004724518863334,0.01806433683040367,1.7348711179045369,1.758841103314111,0.0142430348085875,1.7445980685055231,48.94497325088585,36.13012980633877,19.56799108667134,31.793268280410445,57
Hudson,2008,38.9,231617.991,14.923359852473636,27.87166030766832,19.286768897919803,21.231745289224783,11.971484399744666,61181.59500474233,8885652,38.36339293695022,595419,2.604552424427168,6.2,34867107,60.81364551685452,13.41257165122376,0.2834978393366688,11.461004771429868,0,11.844432240153573,2.184847981001614,0.7631600603944448,1.421687920607169,49.672919406334024,34.2772734443345,22.58400378608613,32.392261469402975,73
Hunterdon,2008,42.5,54838.174999999996,19.708752160333564,21.237982909026172,23.38548157379384,28.84880719245149,21.689736514153463,113266.19886184002,2543040,46.37353449490251,129031,0.46655454890685183,3.7,6611341,90.64643380272958,3.1101053235269043,0.06975068006913067,3.485983988343886,0,1.729041858158117,0.9586843471723848,0.2968278940719672,0.6618564531004177,49.076578496640344,34.590696675081915,15.511360584412095,35.78718375678144,11
Mercer,2008,59.3,216375.61899999998,21.36241617175917,23.986361769817535,23.423494423175036,20.75599264995624,18.23325189661823,81406.3231109706,7794782.5,36.02431057632238,364883,1.8312719419649588,4.7,25521477,66.95351660669311,19.82745153926053,0.45959937843089427,8.18043043934631,0,2.572331404861284,2.006670631407876,0.37217409416169017,1.6344965372461857,49.3338960707953,35.939599043245856,21.367353339043902,30.273498752568585,56
Middlesex,2008,49.6,391394.592,24.552226454881627,27.946915291886565,21.840398324197515,23.510723095927982,14.825336501592314,85133.58552007587,19374211,49.50045656226134,789102,0.9121761191835782,4.9,50960581,63.7940342313161,9.820656898601197,0.12507888714006554,19.15835975577302,0.00684322178881817,5.2998218227808325,1.7952051825999682,0.53884035270472,1.256364829895248,49.48118240734404,36.102535618791734,19.949752638309416,31.67133833654107,96
Monmouth,2008,65.4,420160.992,26.633612370184046,27.735917664712,25.48168536946856,24.1222417586464,14.368860985556342,91263.32722099272,17110711,40.72417793606123,642448,0.8847408661868352,4.8,29755221,83.96523921002166,7.630033870445546,0.30259258336861505,5.051770726969342,0,1.289287226359176,1.7610763828356537,0.16390431599133315,1.5971720668443206,48.97983961347844,36.77827619352772,16.982270639752215,32.035138310370606,102
Morris,2008,51.3,250112.124,21.151619943062016,22.995574596441053,22.493247729464535,28.55331664919138,17.987327663128546,109982.36926968068,10312430,41.23122795918522,487548,0.4984124640035443,3.9,43966978,83.22380565605847,3.0376496262932062,0.2883818618884705,8.524699106549509,0.00861453641487607,3.1861478254448796,1.7307013873505788,0.6836249969233799,1.047076390427199,49.278840237268945,36.82691704481295,15.518286945065976,33.12875096714833,40
Ocean,2008,81.4,463256.35400000005,33.06175772388866,37.58412115464167,27.70221867968884,16.570984633700927,7.614793215824362,65473.627568763826,18815810,40.616409980207195,569111,0.8841860375216785,5.8,15938079,90.93639026481652,3.3330931927163596,0.08030067948080427,1.7200510972376215,0.02055837964825842,2.526923570270123,1.3826828158303035,0.4313745473202943,0.9513082685100096,48.016994927175894,37.24794514257726,17.095495385180538,27.277486109623013,116
Passaic,2008,48.8,239582.62399999998,17.616814815418333,34.63097134764686,20.853880585691524,18.225728953291352,6.860569506613054,62671.83812835915,8648940,36.1000303594638,490948,2.1983998305319505,6.6,21526127,58.7316783040159,12.75084122962106,0.2731450173949176,4.811914907485111,0.03544163536667834,21.690280844407148,1.7066980617091831,0.26336801453514425,1.443330047174039,48.82920390754214,40.12407636417201,18.60734386829133,28.998311163789708,48
Salem,2008,77.7,51391.557,31.317186011702272,39.51794464309363,30.585352933386307,10.82858782501214,5.2266807928309715,66404.61587100853,2071350,40.30525870231953,66141,1.9397952858287597,6.1,5969931,80.92106257843092,16.6129934533799,0.05291725253624832,0.4157784127848082,0,1.363753193934171,0.6334951089339441,0.15875175760874496,0.4747433513251992,49.07394808061565,35.49967083607637,19.583936800526665,30.064516129032256,14
Somerset,2008,41.6,135018.208,15.321721822881845,23.447902571041947,20.46278755074425,27.5787099684258,21.183130356337394,110977.33544103698,4972864,36.8310620742352,324563,0.4914300151280337,4,29055352,73.87348527096435,8.116143861130197,0,12.765164236219162,0,3.444015491599474,1.8011911400868243,0.2920850497438094,1.509106090343015,49.25977391138238,38.4275444256564,15.48129091154289,33.00362044461964,29
Sussex,2008,52.1,78623.589,30.564313592959994,33.47276671498196,30.633189684523863,19.02487426675876,10.237652849791337,87206.24786595005,4612430,58.66470939147791,150909,0.8561450940633097,4.9,4134199,92.96198371203836,1.8395191804332411,0.10933741526350316,2.1635555202141687,0,1.8302420664108832,1.0953621056398226,0.38698818493264153,0.7083739207071812,50.10569283475472,35.59289755223212,16.258331933008456,35.346440374166804,26
Union,2008,48,251159.52,19.66113647613278,31.192970500589063,21.933112338007348,18.764582226431656,12.379299591120146,74501.12551375276,10287670,40.96070099194329,523249,1.3349284948466218,5.6,31043177,60.9447891921437,21.636543978106022,0.2396564541929368,4.448933490556121,0.05943632954864701,11.2023147679212,1.4683257875313664,0.6356438330508037,0.8326819544805628,48.745625887483776,38.74730948556714,17.675785695241935,31.243781741567553,57
Warren,2008,67,73616.92,26.88348683971022,36.04804628654464,25.222967298129607,18.850568583274452,9.279972270733628,84238.99841922225,2953850,40.12460722344809,109876,0.9783756234300485,4.9,4320384,91.38483381266155,3.6796024609559863,0,2.612945502202483,0,1.1067021005497106,1.215916123630274,0.31399031635662017,0.901925807273654,48.838690887910005,37.32595280181102,15.162650789220702,34.127205631531616,17
Atlantic,2009,89,241823.68,38.725496113531975,35.85142128634247,26.11633912075802,15.233315686549908,7.912421534837992,58516.02030456853,10522182,43.511793385990984,271712,1.8799316923801674,11.9,13131644,68.07318042633376,16.338991284889882,0.2513690966906136,6.5194028971852545,0,5.789586032269462,3.027470262631021,0.5759775055941585,2.4514927570368625,48.64120833824049,36.70676252413372,18.102835077736003,30.29544761711208,72
Bergen,2009,49.1,439567.75,18.6162401563809,24.570092128253783,21.308595279925697,27.39292868093378,17.02510307078193,89549.52411167513,16666189,37.91494940199776,895250,0.6823792236805362,7.8,61003612,74.30494275342083,5.814688634459648,0.2392627757609606,14.844791957553754,0.00703714046355766,3.276403239318626,1.5128734990226194,0.40815414688634455,1.1047193521362748,48.81977101368333,35.13205193758813,17.015099397263672,32.67191155735292,113
Burlington,2009,71.1,317182.788,32.17431653321617,30.0323807211682,26.692278165814223,22.558569080512186,11.048485782993396,82934.5926395939,14353220,45.25220328159799,446108,1.002896159674339,8.4,22324992,75.53260645404252,16.250325033399985,0.10557981475337812,4.265559012615779,0,1.5933361428174344,2.2525935423709056,0.15893012454383243,2.093663417827073,49.782339702493566,35.4356603529689,18.961623565731145,31.946271471261397,71
Camden,2009,92.1,476966.55899999995,42.31769197051821,31.97192734272181,26.95543277230535,17.601938764269686,10.057919423008912,67462.1173857868,21915444,45.94754828503606,517879,2.497108397907619,9.9,21564882,66.20040588631707,18.970840679000307,0.45338776046142054,4.756902674176787,0,6.779575924105824,2.838887075938588,0.48640705647458193,2.352480019464006,48.442010585484255,38.10758327662611,19.416773165590612,29.713365753265506,142
Cape May,2009,102.7,98686.48400000001,39.625046830121136,35.490065000640044,27.08122946506038,16.93003541610366,8.499864878319372,55549.4847715736,3807650,38.58329778979662,96092,1.6234441993089956,11.2,4620203,90.61212171668818,5.9307746742704905,0.4121050659784373,0.19356450068684175,0,1.8763268534321271,0.9751071889439288,0.337176872164176,0.6379303167797526,47.63247720934105,31.058957130689883,16.52881612567427,29.433140910381375,15
Cumberland,2009,91.9,144967.655,36.91673270151193,38.99407596701126,22.494869709993417,11.189840089828476,4.523367019011112,54193.51237309645,5823430,40.17054700926217,157745,2.9249738502012743,12.5,5747310,64.1491013978256,20.78734666708929,1.1550286855367842,1.0466258835462297,0.0266252496117151,8.506133316428413,4.329138799961964,1.6418903927224318,2.687248407239532,51.55218865891153,36.84118655727942,22.670472630941255,28.974956618168004,29
Essex,2009,43,330946.92,16.80712121448358,30.359130414189973,22.126640932736557,18.857405609365255,12.138165944379978,59867.565038071065,12935500,39.08632840577577,769644,2.9213506504305884,10.3,47863551,44.39338187525661,40.50587024650358,0.27376293455155887,4.3292743138386065,0.05742914906112437,6.251201854363836,4.189079626424685,0.8719615822380218,3.317118044186663,48.28193294562161,39.46085122912158,20.131402252927142,28.971755174518616,133
Gloucester,2009,83.8,242952.96,40.38348509933775,34.726460163353366,27.735141521549288,19.076385678327423,8.731699799660966,78023.20526649746,11707980,48.19031634765841,289920,1.234823399558499,9.2,10587855,84.12148178807946,10.077952538631346,0.01793598233995585,2.1599061810154527,0,1.131346578366446,2.491376931567329,0.2000551876379691,2.29132174392936,48.700331125827816,37.12952685095597,18.710489294639306,31.210266699116147,49
Hudson,2009,39.4,235582.05599999998,15.904579846268087,25.23587142044377,20.228285605916938,22.6796889816044,12.552152474871988,62811.962246192896,9509730,40.366953924538294,597924,2.6155498023160133,10.5,35826301,59.98705521103016,13.679330483472816,0.55358206059633,11.427372040593788,0.00535185073688294,11.765542109030578,2.58176624453944,0.8052862905653562,1.7764799539740836,49.578541754470464,32.69173677823991,26.9571433100733,29.232707012886692,83
Hunterdon,2009,41.2,53574.008,16.779611486226678,22.376302156494766,23.505680605032193,27.75686336206412,20.24228258060166,111498.5663071066,2181920,40.72721234521038,130034,0.48141255363981733,6.7,6602910,90.99312487503268,2.953073811464694,0.03614439300490641,3.247612162972761,0.05613916360336528,1.3927126751465002,1.3211929187750897,0.03691342264330867,1.284279496131781,50.079979082393834,36.27464962207154,13.005147087422698,35.25690059768446,4
Mercer,2009,58.6,214606.09199999998,21.672701257707075,24.344927140594045,23.689337254464007,20.656665301716114,17.42504146554327,79310.54885786802,7937020,36.98413183909057,366222,1.9247887893135858,7.6,25075401,65.86414797581794,19.479714490118017,0.12915663176980083,8.109561959685657,0.07345271447373451,4.182162731894862,2.1618034962399855,0.15919305776277778,2.0026104384772077,49.306977734816584,35.81381034096844,21.27975080205924,29.961575766619415,54
Middlesex,2009,52.4,414346.712,26.90314870412197,28.65582764493928,22.459709681106418,22.475074434736335,14.66959221569116,83606.49079949239,21273342,51.341886839927426,790738,0.929511418447071,8.5,49513864,64.52263581616161,10.122821971373575,0.2178977107461637,19.40276045921658,0,4.0013253441721535,1.7325586983299148,0.4019030323571144,1.3306556659728,49.42079424537584,36.37701427960703,20.481257344427043,30.62156141176268,106
Monmouth,2009,67,431550.35000000003,27.07673438336917,26.802871621233063,24.528623052558213,24.31493063622374,15.05024877109609,89165.4241751269,17440260,40.41303639308831,644105,0.8930221004339354,8.3,28960647,82.68915782364677,7.559637015703961,0.280854829569713,5.316679733894318,0.01195457262402869,2.070625130995723,2.07109089356549,0.18273418153872423,1.8883567120267657,49.036104361866464,37.091783388443346,16.261789385970033,32.2037991412391,119
Morris,2009,51.8,253052.32400000002,19.603513074236773,22.309614973937578,21.115525865413822,30.20864977697303,19.762325135124566,107135.10247461929,9576669,37.84461983443392,488518,0.5054061467540603,7.1,44227401,83.4106419824858,3.163854760725296,0.36027331643869825,8.775111664258022,0.08945422686574497,2.2537552352216297,1.9469088140048063,0.9076431165279478,1.0392656974768586,49.5420844267765,37.03480394195185,15.69157414722719,32.70232996520992,40
Ocean,2009,82.9,475579.06200000003,32.280582487039766,36.7311507936508,27.489428010261346,17.16319945486612,7.605569584736252,66089.54124365482,18518660,38.939182734667995,573678,0.9191567394949781,9.5,16054015,91.32335561063871,3.357458365145604,0.09656985277455296,1.8634146681587929,0.01080745644769365,1.6875320301632624,1.660862016671373,0.45321591554844354,1.2076461011229296,47.929849148825646,36.99582627080029,15.871410258746907,27.070613179749817,115
Passaic,2009,50.4,247856.112,18.752923066912306,34.241057242371944,20.120815238047765,17.54842890344127,7.578212133862536,57369.25507614213,9222275,37.208180688318066,491778,2.23881507509486,11,20580500,63.510771120302245,12.44036943498896,0.28671473713748885,4.7881361101960644,0.01789425309794257,17.824506179617632,1.1316081646596634,0.4121778526082907,0.7194303120513728,48.95684638190403,39.474685692539246,19.654887493871563,28.443153805803078,61
Salem,2009,80.8,53604.335999999996,34.96623556721232,38.343633021020224,29.189093405984895,14.41513278844663,4.616032073005958,57456.70145939086,2319730,43.27504401882714,66342,1.9957191522715623,10.6,6112947,79.83931747610865,15.097524946489404,0.09044044496698923,0.2999608091405143,0,2.4750535105966054,2.1977028126978384,0.08441108196918995,2.1132917307286485,47.0501341533267,36.52317704166,17.68016215927882,29.524723955832933,17
Somerset,2009,42.9,140226.801,14.920356473082489,23.314221837588345,21.19663204961777,26.958026828212898,21.786203663637675,99479.66973350254,4877002,34.779385718141,326869,0.5124377044014574,7.3,28025411,72.60676295396627,9.02624598845409,0.29583717024251305,13.129724752117822,0,3.5788037409482087,1.3626253942710993,0.26432607558379656,1.098299318687303,49.39379384401702,38.02171638829768,15.902848279025186,33.65473313166398,38
Sussex,2009,54,81603.72,24.930319353088315,32.758671240507816,31.52236588774543,19.69683642654001,8.961992161921795,88686.12944162436,3767420,46.16725806127466,151118,0.9138553977686311,8.6,4106346,93.7399912651041,2.1036540981219973,0.09926018078587594,2.4199632075596553,0,0.7616564538969547,0.8754747945314257,0.3374846146719782,0.5379901798594475,49.94573776783706,36.14566312068563,15.19880837251698,35.20525561076467,25
Union,2009,49.6,261107.296,20.19049211095197,32.10126294554701,22.44434657839781,18.62539245073944,12.041312099558182,72226.28489847716,10628800,40.70663732046768,526426,1.376071850554494,9.3,30194448,59.85703593667486,21.62127250553734,0.11036688917340708,4.648136680179171,0.01557673823101442,12.303913560500432,1.443697689703776,0.5127026400671699,0.930995049636606,48.9335633118425,38.49049676999672,18.560764638065734,30.395200401898713,62
Warren,2009,66.2,72580.356,26.110199018588446,33.342229220319986,26.379418475867684,19.663468595294965,8.614776957873527,78770.37373096446,2862670,39.44138824560188,109638,1.006950145022711,8.7,4388573,90.57169959320672,3.710392382203251,0.05654973640526095,2.7919152118790933,0,1.2687206990277091,1.600722377277951,0.47246392674072857,1.1282584505372224,48.44853061894598,37.42014042633943,14.559744449364286,32.88474919349738,13
Atlantic,2010,83.4,229087.29,38.43300507854452,35.6081256490135,27.47490481135341,16.320526133610247,6.676185531325718,57247.25936329588,10556970,46.082739902331554,274685,1.9575149716948503,12.3,12855711,67.25376340171469,16.020168556710413,0.20168556710413743,7.784553215501393,0.2606622130804376,5.685785536159601,2.7933815097293264,1.5446784498607495,1.2487030598685769,48.302237107960025,36.48085496569387,17.561577133461917,30.715527871755143,63
Bergen,2010,50,453270.5,19.811348852396087,26.76254189029153,20.54955023055409,28.15799254163832,16.124455111245496,84272.85299625469,17959800,39.622697704792174,906541,0.7030018498887529,8,62312967,73.52629390176506,5.494621864868771,0.2273476875287494,14.4603498352529,0,4.393733984452992,1.8976527261315264,0.4902150040649017,1.4074377220666243,48.15391692157332,35.82331442876791,16.705815085534145,31.80120072321553,99
Burlington,2010,72,323387.27999999997,34.52431153136264,29.95395438211058,27.071647759124065,22.338119355685382,12.846435758100109,80940.66198501873,15506560,47.950432682448124,449149,1.049762996244008,9,22656400,74.51736506148295,16.663735197005895,0.1193367902411004,4.341321031550778,0.03139270041790141,1.4293697637087024,2.8974794555926877,0.5512647250689637,2.3462147305237235,49.17343687729462,35.98605345665764,17.87196828803507,30.745024956369317,82
Camden,2010,91.8,471491.22599999997,45.36903118532263,32.05676573049116,26.085802148554887,18.422020061737403,10.07959339678242,62453.535580524345,23301852,49.42160259839067,513607,2.6321681752779846,10.9,21647191,63.37510976291211,18.948145177149065,0.4337947107418707,5.034783404431793,0.00661984747092621,9.014285241439469,3.1872618558547687,1.2013076145769042,1.985954241277864,48.28224693199275,38.11679067393699,18.983185151360498,29.220500147734292,146
Cape May,2010,101.6,98809.048,40.674734969615336,37.18274111675127,25.40999609527528,17.671668433089753,9.726948178724829,58141.28838951311,3955740,40.03418796221982,97253,1.690436284741859,14,4700713,91.37918624618264,4.147944022292371,1.6637018909442385,0.9963702919190154,0,0.2796828889597236,1.5331146597020144,0.17068882193865487,1.3624258377633596,48.49516210296855,30.140855403125233,16.908150539212087,29.190815053921206,9
Cumberland,2010,93.1,146305.71899999998,39.840342604789086,40.51652693456683,23.00472198130481,9.256047027079116,3.9423725546882538,56210.57771535581,6260870,42.79306402232985,157149,3.0467899891186074,13,5724626,61.79231175508594,20.410565768792672,0.6560652629033593,1.3121305258067186,0,11.604273651120913,4.2246530362904,1.30385812190978,2.9207949143806196,51.84888227096577,36.12915236007115,21.62019608654284,29.843213502668263,21
Essex,2010,44.1,345844.548,17.460993486588084,28.5121147622241,22.292328775111525,20.044901886462373,12.19815144181707,57054.51498127341,13693400,39.59408953874849,784228,2.977577949269855,10.8,49106940,43.57444518685893,40.72552880029787,0.33905955920982167,4.632453827203313,0.00510055749093375,5.710839194723984,5.012572874215151,0.8832890434924536,4.129283830722698,47.962072254497414,39.2714692446663,19.69544306075992,29.41013770258612,148
Gloucester,2010,84.2,242985.20200000002,43.58003472162062,34.37615939719184,27.967664902205662,19.412554671292938,8.277638722690481,76786.3127340824,12576370,51.75776095204349,288581,1.3271837023227449,10.3,10867252,82.97601020164183,9.971203925414356,0.1427675418686608,2.6373877698115953,0.0391571170659191,1.8795416191641168,2.353931825033526,0.5682979821956401,1.785633842837886,48.61997151579626,38.0802910595495,18.028333125263803,30.20040068246806,75
Hudson,2010,40.6,257929.36400000003,15.561634455858233,26.642482321152684,18.82907838586509,23.29456124469975,12.782765137335774,59693.04400749064,9886213,38.329148906054755,635294,2.5126949097583164,9.6,36890482,51.40297248203194,13.04592834183858,0.21029633524006203,13.341854322565617,0,18.690716424206748,3.3082320941170544,1.3291483942867397,1.9790836998303147,49.38028692227536,32.62999801019977,27.41263277827901,29.459401260933674,87
Hunterdon,2010,48.6,62389.278,17.437311584211635,21.62104338621955,23.560079723445224,27.89419752947403,20.125665769590235,106580.02059925094,2238480,35.87924194282229,128373,0.5024421023112337,7.4,6531210,91.57299432123578,2.462355791326837,0.16202784074532808,3.094887554236483,0.07945596036549742,1.191060425478878,1.4372181066112033,0.08257188037983065,1.3546462262313728,49.903795969557464,35.88223671211223,14.380557202133966,34.701969307778434,8
Mercer,2010,59.3,217505.87699999998,22.994650875571512,27.173582892090465,21.809300989204942,20.64565119238189,17.8652054344703,77267.62921348315,8434185,38.7768142927007,366789,2.048861879718312,8.4,25574109,62.47242965301577,20.68518957765909,0.21429214071305305,8.8238742165114,0,5.70627799634122,2.0979364157594693,0.634969969110306,1.4629664466491634,48.92349552467495,35.61571025399812,20.704609595484477,30.889934148635938,61
Middlesex,2010,55.9,453341.17399999994,28.563373473771435,27.330995461778745,21.013585194789886,24.23122826663523,16.118789414746274,83242.70505617978,23164496,51.097269183848724,810986,0.9399669044841711,9,50182285,63.58112223885493,9.187951456621938,0.1822472891024013,21.635885206403067,0.02811392551782645,2.756644381037404,2.6280355024624344,0.802233330784995,1.8258021716774395,49.124275881457876,35.772938840332685,20.75486860219465,30.490169748158614,89
Monmouth,2010,68.6,432842.676,29.23150534260166,26.334055394025047,25.045003301400488,25.536390700476097,15.413022576945798,88004.68913857678,18444086,42.611523823034496,630966,0.949496486339993,8.7,28979642,83.26597629666259,7.301185800819695,0.04374245204971425,4.954308156065461,0,1.6235423144828725,2.8112449799196786,0.4583448236513537,2.352900156268325,48.67885115838254,37.15145693593193,15.971445256430547,31.8823099215727,145
Morris,2010,51.7,254722.798,20.24003945653895,24.14774481296692,21.38495326745598,28.324419996060296,19.637076738982792,99605.28745318353,9972146,39.149012488469914,492694,0.5248693915493186,7.4,46328991,82.44265203148404,3.241565758868588,0.14938278119887802,8.919329238837898,0,3.630651073485774,1.6164191161248158,0.6436043467141878,0.972814769410628,48.913727384542945,37.114319276564096,15.644092890059706,32.73637823297583,56
Ocean,2010,85.1,491540.153,34.874199060600446,38.851082368140375,26.763761823926767,16.752044306237828,8.00747116939825,62209.61048689139,20143442,40.98025741551169,577603,0.9613869734056091,10.3,16413293,90.92871747549788,2.892990514245944,0.01835170523698803,1.5344449388247636,0.0555745035950298,2.6184074528698775,1.95151340972952,0.4991317565871368,1.4523816531423832,47.787667307822154,37.45984157254811,16.10810059327182,25.885752107278535,141
Passaic,2010,51.3,257454.18,19.928067588570517,34.53406565710896,21.553247663335966,17.94982127324754,8.910827183678236,58795.74812734083,10001100,38.84613565023493,501860,2.2548120989917506,11.4,21169683,67.7989877655123,12.101183597019087,0.27597337903000835,5.238313473877177,0,12.654126648866216,1.931415135695214,0.6958115809189814,1.2356035547762323,48.55537400868768,38.66853209697514,20.092182213053924,28.962507574055543,69
Salem,2010,80.6,53242.74799999999,40.411456598746554,39.10803880031219,26.185750919834987,14.717359794848925,5.556918274055079,61370.029026217235,2669500,50.13828362127365,66058,2.1072390929183444,11.6,5841138,81.49353598352963,15.207847649035696,0.06206666868509492,0.5252959520421447,0,1.3518423203851162,1.359411426322323,0.21344878742922888,1.145962638893094,48.7586666262981,36.617246437552396,15.876466890192791,31.682208717518865,16
Somerset,2010,43.8,141996.97199999998,16.278863890139853,19.792186986711307,20.8956029862433,27.507998865983556,23.231136851484347,102655.44007490638,5277510,37.16635591356132,324194,0.5496708760803717,7.6,27358902,69.75884809712703,8.485968278253145,0.1668753894273182,13.759970881632604,0.06354220004071637,5.342480119928191,2.4223150335909978,0.3781686274267877,2.0441464061642103,48.93890695077639,38.951550346967444,15.187949432902156,33.426801400448646,37
Sussex,2010,60,89543.4,26.956023559525324,30.943129293888504,28.81907770424132,21.24245389974709,10.932276475547244,91597.13951310862,4022890,44.92670593254221,149239,0.9514939124491587,9.4,4176131,93.8548234710766,1.905668089440428,0.19900964225169024,1.6798558017676344,0,0.7900079737870127,1.5706350216766394,0.3062202239361025,1.2644147977405369,49.281354069646675,36.56823623304071,14.537680994185383,34.276593318891805,25
